Men.	ben.
Sanga.	Sana.
Qayta!	tekrar!
Xet!	mektup!
Amma.	ancak!
Jewap.	cevap!
Yéngi?	yeni?
Yıl!	sene!
Bazar!	pazar!
Bala.	çocuk.
TaG!	dağ!
MaN!	yürü!
Tur.	Bekle.
Eyiq.	ayı.
Oghaq.	orak.
Lampa!	ampul.
Kala!	inek.
Qoy!	koyun!
Ghaz.	Gaz.
Adaş.	arkadaş.
Ağaz.	ağız.
Alım.	borç.
Amru!	devamlı!
Anuk.	hazır.
Arpa.	arpa.
Artun!	kimyon!
Aşa!	aşırı!
Ayanç.	saygı.
Ayınç.	korku.
Barım!	servet!
Batut!	gizli!
Bigü.	armağan.
Bil!	bel!
Boduğ.	boya.
Bodluğ.	boylu.
Bosuş.	keder.
Bök.	zindan.
Bögüş.	hikmet.
Böri.	kurt.
Buğu.	geyik.
Çadar.	çadır.
Çağ.	zaman.
Çağrı.	rütbe.
Çaruk.	çarık.
Çaytı.	manastır.
Çımad.	öfke.
Çın.	gerçek.
Çıng!	doğru!
Çimgan.	çayır.
Çuluğ.	çolak.
Çöp.	şekil.
Çabik.	çubuk.
Harı.	ihtiyar?
Hat.	kat?
Hobuz.	kobuz?
kral.	aslan.
